SMILES,P1,P2,P3,P4
CC1=CCCCO1,0.9344,0.3937,-2.7334576267,6.5316
CC(=NN)N1CC1,1.1205,0.36672,-2.37981992769,6.0081
NN1C=CCC1=O,4.6177,0.35704,-2.10922804446,5.4297
OC(=O)C(=O)C=C,1.0933,0.3106,-1.91747412384,3.1556
Nc1nc(F)co1,3.3212,0.36979,-1.68629333663,6.2206
CN(C)C(C)=NO,1.4372,0.37153,-2.4939611063,6.1374
NC(CF)C1CN1,2.8968,0.41999,-2.36717957469,7.1291
CNC(CF)C#C,2.0767,0.42043,-2.31658412868,6.5990
COCC#CC#N,5.8151,0.38496,-2.03101526645,5.1067
CC(F)=C(C)C=C,1.7412,0.34632,-2.56919384509,5.7077
FC(=C)CC=O,1.9653,0.36617,-1.79594010625,4.2813
CC=C1COC=C1,0.5918,0.32506,-2.49794110128,5.0167
OCC(F)C1CN1,1.7401,0.42558,-2.25440270588,7.5426
NC1(CC1)C2CN2,0.8607,0.4381,-2.5855316351,7.2067
NC(=O)C(F)(F)F,4.0009,0.40048,-1.43679985622,5.6383
CC1N=CNC1=C,2.4139,0.34852,-2.42938805468,5.3594
Oc1cnoc1F,3.0566,0.37715,-1.51139876182,6.2399
NC(=O)C(=O)CO,3.1840,0.32381,-1.95389009285,3.6265
CC1(N)CC1N,2.4380,0.38992,-2.3633328089,6.4218
CNC1C(C)C1O,2.1397,0.3997,-2.70536470971,6.4072
FC1(COC1)C=O,2.0485,0.36846,-1.93137529765,4.2885
CC1OCC(F)=C1,0.9079,0.40727,-2.26163316787,6.7213
C=C1N=CNC1=O,2.5303,0.31577,-1.93361376904,4.0358
FC(=C)C(F)(F)F,2.1111,0.42211,-1.44362081002,7.6405
ON=CNCC=O,1.5662,0.31955,-1.97630602366,4.5769
CC(F)C(C)F,2.5204,0.51016,-2.10252930648,9.2235
COc1c[nH]cn1,2.7133,0.367,-2.13119973846,5.9579
N#Cc1ccno1,3.9881,0.36189,-1.65784132162,5.9215
CCOCC,1.0715,0.4536,-2.2131942073,7.6559
C=C1CC2CC2C1,0.6171,0.40451,-2.8029386295,6.8954
O=CC1=COCO1,3.8056,0.30884,-1.87547638084,4.0582
Oc1cocn1,2.7215,0.37273,-1.54909849403,5.9938
